name,lat,lon,flag
骊山,34.35687045003188,109.25912362586952,True
汉太液池遗址,34.312332110642785,108.82680142356296,True
少陵塬,34.108015518740686,109.04060759839,True
中国电影资料馆西安电影资料库,34.3683727833208,109.238683987989,True
大唐芙蓉园,34.21423713206225,108.96957198668696,True
西山,34.2135748832684,108.9680334037674,True
大唐不夜城,34.21208308228764,108.95941071316804,True
杨虎城将军陵园,34.14647075411559,108.95010585303042,True
隋大兴唐长安城明德门遗址公园,34.206489697008394,108.93555156820736,True
大雁塔北广场,34.222629316961815,108.95947533760815,True
御花园,34.22004949870171,108.96437316574,True
唐大慈恩寺遗址公园,34.21926981275934,108.96214417350714,True
大雁塔南广场,34.21742187952494,108.95945028327974,True
陕西戏曲大观园,34.22176944354029,108.96263694552972,True
大雁塔休闲文化景区,34.220374911908635,108.9598992680488,True
塔林,34.21961977865715,108.9599626080932,True
陕西历史博物馆,34.22575435450034,108.95033579245052,True
渼陂湖,34.11626216114528,108.57502800587696,True
西安事变纪念馆,34.25883789348928,108.96296365052336,True
翠华山,33.9831889,109.0026197,True
终南山（兵马营）,33.8445959,108.6468672,True
凤凰山,33.9739594,108.4960402,True
首阳山,33.9363437,108.434902,True
终南山,33.9243535,109.0455496,True
天华山,33.7949038,108.3411111,True
南五台,33.9899964,108.9747012,True
人头山,33.9772308,109.1291191,True
圭峰山,33.9839763,108.6835631,True
秦兵马俑二号坑,34.385899247442715,109.27395699705475,True
秦兵马俑一号坑,34.38496602569408,109.2731572291832,True
秦始皇帝陵博物院,34.38612274646229,109.27544751158808,True
大雁塔,34.21979680680472,108.95942592504238,True
长安塔,34.32335604342979,109.05501389546416,True
阅江楼,34.1971999442159,108.9806072862178,True
陕西自然博物馆,34.19623626137376,108.94189941849991,True
鼓楼,34.26176036521023,108.93883758175735,True
图书馆,34.028115741503086,109.00400045760692,True
教堂,34.17525718471792,108.5213328649834,True
钱学森图书馆,34.24870055433265,108.97896871295212,True
交大西迁博物馆,34.24901887847813,108.98096287312372,True
东岳庙,34.262595941207806,108.96597522946196,True
唐仲英艺术庭院,34.24814271981459,108.97673986566242,True
陕西钱币博物馆,34.23169235221139,108.90094996444124,True
丹凤门,34.28283649610518,108.95950983930004,True
含元殿遗址,34.289150704848986,108.95946477697692,True
人民剧院,34.26446210000001,108.94343750000002,True
易俗大剧院,34.263014500820596,108.94475962139354,True
城隍殿,34.263508200000004,108.9326793,True
望仙台,34.29297402037134,108.96064930937207,True
宣政殿,34.29212785,108.9594222,True
西安事变旧址,34.268324299999996,108.94847819999998,True
文渊楼,34.15704177407528,108.89214660792544,True
西安文理学院图书馆,34.21701249240305,108.89967693653858,True
大唐西市博物馆,34.24914724382353,108.90336107506924,True
忠烈祠,34.27340765,108.95439665,True
广仁寺,34.27565685153276,108.92112789621922,True
教育博物馆,34.15820846195847,108.88693145193965,True
至相寺,34.020544799999996,108.91577715,True
清真古寺,34.26626318281753,108.92729065312088,True
长生殿,34.36499056664964,109.20606707038458,True
仙游寺博物馆,34.05834827635075,108.19598841769556,True
群贤楼,34.058777424998034,108.61873364870117,True
西安城墙,34.26500120837224,108.94262581241482,True
西仓清真寺,34.267585,108.93202269999998,True
陕西省文化和旅游厅,34.234384629132606,108.94275819091465,True
明秦王府城墙,34.26484447389659,108.94866266026855,True
西安交通大学仲英书院,34.24930867935092,108.9753297360029,True
紫宸殿,34.29373465,108.95941035,True
沣西车马坑,34.20494035,108.7136,True
麟德殿,34.29689931930439,108.9534296775935,True
南庙,34.179835759100534,108.5360242163438,True
活死人墓,34.12204141653642,108.49345401004295,True
圜丘遗址,34.202676619652784,108.94534564092308,True
西安皇城美术馆,34.27097024426715,108.96013555959314,True
西安崔振宽美术馆,34.28954606194719,109.08397367064488,True
老城根商业广场,34.28629837127911,108.91396125297744,True
阿房宫,34.253904917488114,108.8019676334265,True
亮宝楼艺术博物馆,34.24868105,108.9854834,True
古观音禅寺,34.02728987105419,108.7870777748058,True
逸夫图书馆,34.37265184479876,108.89951908300657,True
揽月阁,34.14385945665485,108.95959642509791,True
延英殿,34.293265099125534,108.95822164201948,True
光顺门,34.29203312498695,108.9557700440068,True
长安书院,34.379050324330585,109.0018526146128,True
西安局铁路文化宫,34.28117383079701,108.96495798373608,True
宝庆寺塔,34.25474231806058,108.94347187717908,True
关帝庙,34.13478270684212,108.34086662601084,True
铜车马博物馆,34.37897524312727,109.24974710288411,True
陕西考古博物馆,34.12023916112829,108.87806803529642,True
安仁坊遗址展示馆,34.23785205422025,108.9365154247507,True
贾平凹艺术馆,34.36245714875923,109.17107330622107,True
戏台,34.26278297787017,108.94394857351368,True
玉蟾宫,34.09974171763114,108.56093347554553,True
宗圣宫,34.07291156660657,108.32314213775912,True
长安乐·一带一路文化艺术中心,34.3730277163136,109.01253889002685,True
礼拜殿,34.26373370489437,108.9308256864218,True
西安清真寺,34.26335772408964,108.93695325618732,True
西安碑林石刻艺术馆,34.25575086960741,108.948817475417,True
景云钟,34.25476751763046,108.94841446556975,True
陕西文物图书中心,34.25640492887761,108.94842329301731,True
西安图书馆,34.253887143295835,108.99510050076488,True
万寿寺塔,34.25730008678316,109.00891430013212,True
陕西广电大剧院,34.20735403578106,108.97119262315476,True
蔡家坡村史馆,34.02206599598857,108.63228753919384,True
