name,lat,lon,flag,citycode,cityname,adcode,adname,business_area,type
麟德殿,34.29689932,108.9534297,TRUE,29,西安市,610112,未央区,[],风景名胜;风景名胜相关;旅游景点
南庙,34.17983576,108.5360242,TRUE,29,西安市,610118,鄠邑区,[],地名地址信息;自然地名;山
活死人墓,34.12204142,108.493454,TRUE,29,西安市,610118,鄠邑区,[],风景名胜;风景名胜;风景名胜
圜丘遗址,34.20267662,108.9453456,TRUE,29,西安市,610113,雁塔区,长延堡,风景名胜;风景名胜相关;旅游景点
西安皇城美术馆,34.27097024,108.9601356,TRUE,29,西安市,610102,新城区,民乐园,科教文化服务;美术馆;美术馆
西安崔振宽美术馆,34.28954606,109.0839737,TRUE,29,西安市,610111,灞桥区,[],科教文化服务;美术馆;美术馆
老城根商业广场,34.28629837,108.9139613,TRUE,29,西安市,610104,莲湖区,丰禾路,购物服务;购物相关场所;购物相关场所
阿房宫,34.25390492,108.8019676,TRUE,29,西安市,610116,长安区,西咸新区,道路附属设施;收费站;收费站
亮宝楼艺术博物馆,34.217616,108.970916,TRUE,29,西安市,610113,曲江新区,[],科教文化服务;博物馆;博物馆
古观音禅寺,34.02728987,108.7870778,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜相关;旅游景点
逸夫图书馆,34.37265184,108.8995191,TRUE,29,西安市,610112,未央区,[],科教文化服务;图书馆;图书馆
揽月阁,34.14385946,108.9595964,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;风景名胜
延英殿,34.2932651,108.9582216,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜相关;旅游景点
光顺门,34.29203312,108.95577,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜相关;旅游景点
长安书院,34.37905032,109.0018526,TRUE,29,西安市,610112,未央区,[],科教文化服务;科教文化场所;科教文化场所
西安局铁路文化宫,34.28117383,108.964958,TRUE,29,西安市,610102,新城区,[],科教文化服务;文化宫;文化宫
宝庆寺塔,34.25474232,108.9434719,TRUE,29,西安市,610103,碑林区,环城南路,风景名胜;风景名胜相关;旅游景点
关帝庙,34.13478271,108.3408666,TRUE,29,西安市,610112,未央区,[],风景名胜;风景名胜;寺庙道观
铜车马博物馆,34.37897524,109.2497471,TRUE,29,西安市,610115,临潼区,[],科教文化服务;博物馆;博物馆
陕西考古博物馆,34.12023916,108.878068,TRUE,29,西安市,610116,长安区,[],科教文化服务;博物馆;博物馆
安仁坊遗址展示馆,34.23785205,108.9365154,TRUE,29,西安市,610103,碑林区,长安路,科教文化服务;展览馆;展览馆
贾平凹艺术馆,34.36245715,109.1710733,TRUE,29,西安市,610115,临潼区,[],生活服务;信息咨询中心;服务中心
戏台,34.26278298,108.9439486,TRUE,29,西安市,610122,蓝田县,[],风景名胜;风景名胜;风景名胜
玉蟾宫,34.09974172,108.5609335,TRUE,29,西安市,610124,周至县,[],风景名胜;风景名胜相关;旅游景点
宗圣宫,34.07291157,108.3231421,TRUE,29,西安市,610124,周至县,[],风景名胜;风景名胜;寺庙道观
长安乐·一带一路文化艺术中心,34.37302772,109.0125389,TRUE,29,西安市,610111,灞桥区,[],生活服务;生活服务场所;生活服务场所
礼拜殿,34.2637337,108.9308257,TRUE,29,西安市,610117,高陵区,[],风景名胜;风景名胜;教堂
西安清真寺,34.26335772,108.9369533,TRUE,29,西安市,610104,莲湖区,北院门,风景名胜;风景名胜;回教寺
